text,label,score,url,hn_link,pre_labeled,notes
"An idea for an entropy – based cryprographic system An idea for an entropy - based cryptographic system (a bit sketchy but I hope it communicates the idea, sorry about the messy layout)<p>-true white entropy: True Random Number Generator by for example recording audio silence (analog background entropy) and then whitening it for example with the correct character frequency of Linux &#x2F;dev&#x2F;urandom or such multiple times --&gt;
 character frequency - wise whitened true entropy dataset. Even character distribution of for example urandom stays correct once added to the mix no matter how much the true entropy factor is increased by multiple one time pad - re - encodings and it doesn&#x27;t matter whether the Pseudo Random Number Genrator (like urandom) used to this is compromised or not.<p>-the initial exchange of such true entropy key datasets via physical contact or physical post or couriers or such (or a trusted bitbucket or such online).<p>-the tanking of the secret over the Net model is based on a prime number series expansion system.
  * prime number series expansion system with prime number serieses of bytes 0-255 based on the shared secret (the physically (or such) shared true entropy key datasets):
    #initial lenght: 8 =A:100, 101, 102, B:50, 51, 52, 53, 54
     expanded   100, 101, 102, 100, 101, 102, 
 100, 101, 102, 100, 101, 102, 100, 101, 102
                 50,  51,  52,  53,  54,  50,  51,  52,  53,  54,  50,  51,  52,  53,  54
     lenght: 15=150, 152, 154, 153, 155, 152, 151, 153, 155, 154, 151, 153, 152, 154, 156, which is non - repeating and
     without a pattern
  * the packed material has to be randomised over the dataset by rules of the software uniform by both sides based on the entropy datasets shared in common (the initial secret)
  * the packed material has to be minimal (like maybe even 1%) to paranoidly avoid the cryptanalysis of even the most sophisticated quantum computing supremacies by the means of prime number factorization for the reason of the odds becoming astronomical for cryptanalysis. Therefore in the &#x27;tanking&#x27; phase you use 99k of the secret shared true entropy datasets to send 100k of the new shared true entropy datasets with a gain of 1k of the shared secret by means of the prime number series expansion packing. After the tanking you can use the true entropy secret thus gained to communicate in full forward secrecy by true entropy one time pads between the participants.<p>Is this model mathematically correct? If so, why not go and do it y&#x27;all for all I care. ...But please call it Noise Crypto :-)",technical,1,https://news.ycombinator.com/item?id=31840822,https://news.ycombinator.com/item?id=31840822,1,
Google is closer than ever to a quantum computing breakthrough,hype,1,http://uk.businessinsider.com/google-quantum-computing-chip-ibm-2017-6?r=US&IR=T,https://news.ycombinator.com/item?id=14647488,1,
"Ask HN: Is quantum computing likely to happen before strong AI? There is a lot of excitement around AI recently, but AI is also the field that has historically over promised and under delivered. Quantum computing on the other hand is making concrete progress, consistently, for years. Which one do you think will become practical first? Quantum computers in every home or strong AI bots everywhere? My vote is for quantum computing.",discussion,6,https://news.ycombinator.com/item?id=11520589,https://news.ycombinator.com/item?id=11520589,1,
"But it seems that quantum cryptography allows you to do more than what is possible with classical computing:  namely, to detect someone listening in on your communication. What is the relationship between quantum cryptography and quantum computing?",technical,0,https://news.ycombinator.com/item?id=955089,https://news.ycombinator.com/item?id=955089,1,
"V=[0.75+0.4330127018922193i 0.24999999999999994-0.4330127018922193i , 0.24999999999999994-0.4330127018922193i 0.75+0.4330127018922193i ] qubit_0=&quot;x0&quot; qubit_1=&quot;x1&quot; qubit_2=&quot;x2&quot; qubit_3=&quot;c0&quot; qubit_4=&quot;c1&quot; qubit_5=&quot;d0&quot; qubit_6=&quot;ax&quot; gateproperty(&quot;group_gate10gate11gate12gate13gate14_6068&quot;,reps=10.0) gate0={H:-:-:-:-:-:-} gate1={-:H:-:-:-:-:-} gate2={-:-:H:-:-:-:-} gate3={1:1:1:NOT:-:-:-} gate4={NOT:-:-:-:-:-:-} gate5={-:NOT:-:-:-:-:-} gate6={-:-:NOT:-:-:-:-} gate7={1:1:1:-:NOT:-:-} gate8={-:-:NOT:-:-:-:-} gate9={-:NOT:-:-:-:-:-} group_gate10gate11gate12gate13gate14_6068.gate10={-:-:-:1:-:-:V} group_gate10gate11gate12gate13gate14_6068.gate11={-:-:-:-:1:-:V} group_gate10gate11gate12gate13gate14_6068.gate12={-:-:-:-:-:1:V} group_gate10gate11gate12gate13gate14_6068.gate13={-:-:-:-:-:-:!} group_gate10gate11gate12gate13gate14_6068.gate14_6068={-:-:-:-:-:-:NOT} gate17={-:-:-:!:-:-:-} gate14={-:-:-:-:!:-:-}",technical,0,https://news.ycombinator.com/item?id=9983530,https://news.ycombinator.com/item?id=9983530,1,
China hits milestone in developing quantum computer ‘to eclipse all others’,hype,4,http://www.scmp.com/news/china/policies-politics/article/2092635/chinese-scientists-claim-milestone-developing-quantum,https://news.ycombinator.com/item?id=14260654,1,
"Ask HN: Quantum Computing – Concept/Code Review (Qiskit Impl.) Hello! I&#x27;m new to this stuff, so please be gentle, but I&#x27;m looking for feedback on the follow code sample which is an attempt at a sort of &quot;homomorphic encryption&quot; scheme. Basically Alice encrypts some operands, sends them to Bob ... who performs some operations (without knowing the operands), sends them back to Alice who then decrypts the results.<p>The implementation here is very simple:<p><pre><code>    * Alice encrypts 1 qubit, sends it to Bob.

    * Bob performs a bit flip (on the encrypted value), sends the value back to Alice.

    * Alice decrypts the result.
</code></pre>
I&#x27;m leveraging quantum teleportation to get the qubit from Alice to Bob, which is probably not strictly necessary, if there was a &quot;quantum internet&quot; (a mechanism to send qubits around), but I&#x27;m assuming classical information transfer between the 2 parties.<p>I&#x27;m not a student, this is not homework.  Just looking for feedback.<p>Code: https:&#x2F;&#x2F;gist.github.com&#x2F;datafatmunger&#x2F;9f881d362a92b533af8400f6f85f8ffc<p>Thank you!",technical,2,https://news.ycombinator.com/item?id=23745773,https://news.ycombinator.com/item?id=23745773,1,
"Ask HN: Does anyone believe Quantum Computing will scale? My understanding is that QC is in some ways, theoretically, able to efficiently compute exponential problems. Such as integer factorization.<p>I’m inspired by Scott Aaronson saying about the invisible electric fence for P!=NP. In all sorts of different ways, something stops hard problems from having efficient solutions.<p>https:&#x2F;&#x2F;scottaaronson.blog&#x2F;?p=1720<p>I know someone who used to work on QC and they said offhand “Maybe building a large quantum computer will be just as hard as solving hard computational problems.” Aka, maybe the invisible fence is there for QC too.<p>I also know that due to the way QC affects cryptography, it gets a lot of funding from governments. It’s an arms race. This could produce a lot of business, without actual results.<p>So I want to hear from a quantum computing researcher. Do any of you seriously believe in quantum supremacy?",discussion,2,https://news.ycombinator.com/item?id=33380515,https://news.ycombinator.com/item?id=33380515,1,
"How Would a Quantum Computer Handle Transcendental Numbers? Wikipedia: &quot;In quantum computing, a qubit (&#x2F;ˈkjuːbɪt&#x2F;) or quantum bit (sometimes qbit) is a unit of quantum information—the quantum analogue of the classical bit. A qubit is a two-state quantum-mechanical system, such as the polarization of a single photon: here the two states are vertical polarization and horizontal polarization.&quot;<p>Wikipedia: &quot;In mathematics, a transcendental number is a real or complex number that is not algebraic—that is, it is not a root of a non-zero polynomial equation with rational coefficients.&quot;<p>For example, e, Pi, and Phi -- but there are many others.<p>OK, so let&#x27;s say I have a Quantum Computer.<p>Questions:<p>1) How do I input a Transcendental Number?<p>2) If, after inputting a Transcendental Number, I then want the Nth digit of that number, where N is a super large integer, like say the trillionth digit of Pi, how do I ask the Quantum Computer for that, and will the result be accurate if checked against a conventional computer?<p>3) Using Transcendental Numbers in repeated functions which take Transcendental Numbers and return other Transcendental Numbers as their results, will the Nth digit of the resulting number be correct, if checked against a conventional computer?<p>And finally:<p>4) In cases where N is so high that a conventional computer can&#x27;t check what its value should be, and we ask a Quantum Computer for it, how do we know that the Quantum Computer is correct?",technical,1,https://news.ycombinator.com/item?id=10724027,https://news.ycombinator.com/item?id=10724027,1,
"As Wikipedia says, in a quantum computer, you have a quantum register (a bunch of entangled qubits) that holds the result of your computation.  The contents of this register can be visualized as a high-dimensional vector of length 1 -- think of this as a line with one endpoint at the origin and the other restricted to the radius-1 hypersphere around the origin.  Each axis of the space that this sphere lives in corresponds to one classical value of the register -- in an 8-qubit register, one axis corresponds to 00000000, another corresponds to 00000001, etc. The real problem you solve with Grover's algorithm is this: you have a black box (usually called an ""Oracle operator"", but I think the term ""Oracle"" in this case is misleading) that negates the value of your register along exactly one axis (i.e., if the coordinate on the 00010111 axis is .2 - .1i, it becomes -.2+.1i).  You want to figure out which of the 2^n axes in the n-qubit register your black box negates. Unfortunately, you don't have the luxury of picking the vector that has a coordinate of 1/sqrt(2^n) in each direction, and observing what the black box does to that after a single application, since when you observe your quantum register you always observe a classical state.  In contrast, one solution that would work would be to solve the problem the classical-computing way:  march through each of the 2^n axes until you find the one you're looking for. Grover's algorithm gives you a better way.  What Grover's algorithm does is repeatedly apply an operation that nudges your register towards the desired state -- basically applying a small rotation.  After some number of iterations, the vector representing your register should be pointing in almost the same direction as the vector representing the state you're searching for.  Then you can measure the contents of the register and, with high probability, get the answer you were searching for.  It turns out you only need O(sqrt(2^n)) queries (rotations), so it's a substantial improvement over the classical case. I've probably oversimplified a few things, but hopefully this makes things clearer than they were before.",technical,0,https://news.ycombinator.com/item?id=985020,https://news.ycombinator.com/item?id=985020,1,
